Location	Date	Incidence
Müllheim	25.02.2021	31.45148608271741
Münstertal/Schwarzwald	25.02.2021	19.71608832807571
Neuenburg am Rhein	25.02.2021	65.1837366577039
Oberried	25.02.2021	103.7344398340249
Pfaffenweiler	25.02.2021	77.2499034376207
Schallstadt	25.02.2021	0.0
Schluchsee	25.02.2021	0.0
Sölden	25.02.2021	0.0
St. Märgen	25.02.2021	0.0
St. Peter	25.02.2021	38.08073115003808
Staufen im Breisgau	25.02.2021	0.0
Stegen	25.02.2021	44.336067390822436
Sulzburg	25.02.2021	35.49875754348598
Titisee-Neustadt	25.02.2021	32.794949577765024
Umkirch	25.02.2021	225.57695644629533
Vogtsburg im Kaiserstuhl	25.02.2021	0.0
Wittnau	25.02.2021	0.0
Au	04.03.2021	0.0
Auggen	04.03.2021	0.0
Bad Krozingen	04.03.2021	53.982431172400254
Badenweiler	04.03.2021	67.68953068592057
Ballrechten-Dottingen	04.03.2021	0.0
Bollschweil	04.03.2021	85.5431993156544
Bötzingen	04.03.2021	318.88951416244606
Breisach am Rhein	04.03.2021	154.95867768595042
Breitnau	04.03.2021	57.110222729868646
Buchenbach	04.03.2021	95.87727708533077
Buggingen	04.03.2021	0.0
Ebringen	04.03.2021	0.0
Ehrenkirchen	04.03.2021	13.331555792560993
Eichstetten am Kaiserstuhl	04.03.2021	27.533039647577095
Eisenbach (Hochschwarzwald)	04.03.2021	0.0
Eschbach	04.03.2021	40.14452027298274
Feldberg (Schwarzwald)	04.03.2021	0.0
Friedenweiler	04.03.2021	0.0
Glottertal	04.03.2021	284.18061256709825
Gottenheim	04.03.2021	0.0
Gundelfingen	04.03.2021	59.916117435590174
Hartheim am Rhein	04.03.2021	0.0
Heitersheim	04.03.2021	31.47623544224111
Heuweiler	04.03.2021	87.64241893076249
Hinterzarten	04.03.2021	0.0
Horben	04.03.2021	0.0
Ihringen	04.03.2021	65.01950585175553
Kirchzarten	04.03.2021	0.0
Lenzkirch	04.03.2021	39.49447077409163
Löffingen	04.03.2021	52.51411316791388
March	04.03.2021	86.21618708912598
Merdingen	04.03.2021	77.45933384972889
Merzhausen	04.03.2021	37.821482602118
Müllheim	04.03.2021	36.69340042983698
Münstertal/Schwarzwald	04.03.2021	59.148264984227126
Neuenburg am Rhein	04.03.2021	48.887802493277924
Oberried	04.03.2021	138.31258644536652
Pfaffenweiler	04.03.2021	115.87485515643105
Schallstadt	04.03.2021	15.745551881593451
Schluchsee	04.03.2021	0.0
Sölden	04.03.2021	0.0
St. Märgen	04.03.2021	0.0
St. Peter	04.03.2021	38.08073115003808
Staufen im Breisgau	04.03.2021	12.214486380847685
Stegen	04.03.2021	66.50410108623366
Sulzburg	04.03.2021	0.0
Titisee-Neustadt	04.03.2021	8.198737394441256
Umkirch	04.03.2021	86.76036786395974
Vogtsburg im Kaiserstuhl	04.03.2021	49.204526816467116
Wittnau	04.03.2021	0.0
Au	11.03.2021	0
Auggen	11.03.2021	143.0615164520744
Bad Krozingen	11.03.2021	58.88992491534573
Badenweiler	11.03.2021	22.56317689530686
Ballrechten-Dottingen	11.03.2021	0
Bollschweil	11.03.2021	42.7715996578272
Bötzingen	11.03.2021	562.7462014631401
Breisach am Rhein	11.03.2021	251.80785123966945
Breitnau	11.03.2021	0
Buchenbach	11.03.2021	95.87727708533077
Buggingen	11.03.2021	0
Ebringen	11.03.2021	0
Ehrenkirchen	11.03.2021	106.65244634048794
Eichstetten am Kaiserstuhl	11.03.2021	0
Eisenbach (Hochschwarzwald)	11.03.2021	140.77897700610043
Eschbach	11.03.2021	0
Feldberg (Schwarzwald)	11.03.2021	53.70569280343716
Friedenweiler	11.03.2021	0
Glottertal	11.03.2021	126.30249447426588
Gottenheim	11.03.2021	0
Gundelfingen	11.03.2021	25.67833604382436
Hartheim am Rhein	11.03.2021	0
Heitersheim	11.03.2021	125.90494176896443
Heuweiler	11.03.2021	0
Hinterzarten	11.03.2021	0
Horben	11.03.2021	85.76329331046313
Ihringen	11.03.2021	97.52925877763329
Kirchzarten	11.03.2021	41.05511649389305
Lenzkirch	11.03.2021	19.747235387045816
Löffingen	11.03.2021	13.12852829197847
March	11.03.2021	237.09451449509646
Merdingen	11.03.2021	38.729666924864446
Merzhausen	11.03.2021	18.910741301059
Müllheim	11.03.2021	47.17722912407611
Münstertal/Schwarzwald	11.03.2021	19.71608832807571
Neuenburg am Rhein	11.03.2021	73.33170373991689
Oberried	11.03.2021	0
Pfaffenweiler	11.03.2021	347.62456546929315
Schallstadt	11.03.2021	0
Schluchsee	11.03.2021	0
Sölden	11.03.2021	0
St. Märgen	11.03.2021	107.35373054213633
St. Peter	11.03.2021	0
Staufen im Breisgau	11.03.2021	12.214486380847685
Stegen	11.03.2021	22.168033695411218
Sulzburg	11.03.2021	0
Titisee-Neustadt	11.03.2021	8.198737394441256
Umkirch	11.03.2021	468.5059864653826
Vogtsburg im Kaiserstuhl	11.03.2021	32.80301787764474
Wittnau	11.03.2021	65.96306068601584
